档位,院校代号,院校名称,所在省,城市,城市标签,院校标签,院校水平,类型,公私性质,保研率,院校排名,2025投档线,位次比值,院校专业组代码,专业组名称,专业代码,专业名称,专业备注,学制,学费,计划人数,25专业最低分,25专业最低位次
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),025,雕塑,,五年,10000,1,301.3,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),026,摄影,,四年,10000,1,301.3,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307119,第119组(美术与设计类),027,中国画,,四年,10000,1,301.3,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),028,戏剧影视美术设计(舞台设计),,四年,10000,1,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),029,影视摄影与制作,,四年,10000,2,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),030,视觉传达设计,,四年,10000,2,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),031,环境设计,,四年,10000,2,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),032,产品设计,,四年,10000,1,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),033,服装与服饰设计,,四年,10000,1,306.7,31
冲,5307,云南艺术学院,云南,昆明,二线/省会,,,艺术,公办,,/,306.7,1.0,5307120,第120组(美术与设计类),034,数字媒体艺术,,四年,10000,2,306.7,31
冲,3603,华东交通大学,江西,南昌,二线/省会,省重点/保研资格,原铁道部直属/卓越工程师/省部共建,理工,公办,4.7%,194,307.1,0.98,3603104,第104组(美术与设计类),005,数字媒体艺术,,四年,9600,4,307.1,31
冲,3603,华东交通大学,江西,南昌,二线/省会,省重点/保研资格,原铁道部直属/卓越工程师/省部共建,理工,公办,4.7%,194,307.1,0.98,3603104,第104组(美术与设计类),006,环境设计,不招色盲、单色识别不全的考生,四年,9600,2,307.1,31
冲,3605,南昌航空大学,江西,南昌,二线/省会,省重点/保研资格,原航空航天部直属/卓越工程师/省部共建,理工,公办,6.8%,181,307.2,0.97,3605102,第102组(美术与设计类),002,动画,不招色盲且不招单色识别不全者,四年,9600,4,307.2,31
冲,3605,南昌航空大学,江西,南昌,二线/省会,省重点/保研资格,原航空航天部直属/卓越工程师/省部共建,理工,公办,6.8%,181,307.2,0.97,3605102,第102组(美术与设计类),003,环境设计,不招色盲且不招单色识别不全者,四年,9600,4,307.2,31
冲,3731,齐鲁工业大学,山东,济南,二线/省会,保研资格,,理工,公办,,151,307.5,0.96,3731101,第101组(美术与设计类),001,服装与服饰设计,不招色盲考生。,四年,10120,2,307.5,31
冲,4220,长江大学,湖北,荆州,三线,省重点/保研资格,原石油部直属/卓越工程师/卓越医生/卓越农林/省部共建,综合,公办,5.6%,184,307.5,0.96,4220104,第104组(美术与设计类),005,美术学(师范类),不招色盲考生,四年,10350,1,307.5,31
冲,4220,长江大学,湖北,荆州,三线,省重点/保研资格,原石油部直属/卓越工程师/卓越医生/卓越农林/省部共建,综合,公办,5.6%,184,307.5,0.96,4220105,第105组(美术与设计类),006,视觉传达设计,不招色盲考生,四年,10350,2,307.5,31
冲,4219,中南民族大学,湖北,武汉,新一线/省会,省重点/保研资格,部委直属,综合,公办,5.3%,159,307.6,0.95,4219105,第105组(美术与设计类),005,动画,单色不识别、色盲不予录取，详见学校招生章程,四年,10350,3,307.6,31
冲,4219,中南民族大学,湖北,武汉,新一线/省会,省重点/保研资格,部委直属,综合,公办,5.3%,159,307.6,0.95,4219105,第105组(美术与设计类),006,美术学,单色不识别、色盲不予录取，详见学校招生章程,四年,10350,8,307.6,31
冲,4219,中南民族大学,湖北,武汉,新一线/省会,省重点/保研资格,部委直属,综合,公办,5.3%,159,307.6,0.95,4219105,第105组(美术与设计类),007,视觉传达设计,单色不识别、色盲不予录取，详见学校招生章程,四年,10350,6,307.6,31
冲,4219,中南民族大学,湖北,武汉,新一线/省会,省重点/保研资格,部委直属,综合,公办,5.3%,159,307.6,0.95,4219105,第105组(美术与设计类),008,环境设计,单色不识别、色盲不予录取，详见学校招生章程,四年,10350,8,307.6,31
冲,2106,大连交通大学,辽宁,大连,二线,省重点/保研资格,原铁道部直属/卓越工程师/省部共建,理工,公办,5.2%,249,307.9,0.93,2106101,第101组(美术与设计类),001,产品设计,,四年,10000,2,307.9,31
冲,2106,大连交通大学,辽宁,大连,二线,省重点/保研资格,原铁道部直属/卓越工程师/省部共建,理工,公办,5.2%,249,307.9,0.93,2106101,第101组(美术与设计类),002,动画,不录取色盲考生,四年,10000,2,307.9,31
