综合成绩,本段人数,累计人数
247.9,2,11212
247.2,1,11213
246.6,1,11214
246.4,1,11215
246.3,1,11216
245.5,1,11217
245,1,11218
244.8,1,11219
244.4,2,11221
244.3,1,11222
243.6,1,11223
243.4,1,11224
243,1,11225
242.3,1,11226
239.3,1,11227
236.9,1,11228
