年份,综合成绩,本段人数,累计人数
2025,303.4,13,2902
2025,303.3,15,2917
2025,303.2,15,2932
2025,303.1,20,2952
2025,303.0,18,2970
2025,302.9,22,2992
2025,302.8,14,3006
2025,302.7,20,3026
2025,302.6,21,3047
2025,302.5,19,3066
2025,302.4,12,3078
2025,302.3,22,3100
2025,302.2,10,3110
2025,302.1,10,3120
2025,302.0,17,3137
2025,301.9,15,3152
2025,301.8,14,3166
2025,301.7,22,3188
2025,301.6,24,3212
2025,301.5,15,3227
2025,301.4,32,3259
2025,301.3,17,3276
2025,301.2,19,3295
2025,301.1,16,3311
2025,301.0,16,3327
2025,300.9,12,3339
2025,300.8,27,3366
2025,300.7,16,3382
2025,300.6,15,3397
2025,300.5,15,3412
2025,300.4,18,3430
2025,300.3,27,3457
2025,300.2,27,3484
2025,300.1,13,3497
2025,300.0,27,3524
2025,299.9,11,3535
2025,299.8,13,3548
2025,299.7,31,3579
2025,299.6,30,3609
2025,299.5,17,3626
2025,299.4,20,3646
2025,299.3,17,3663
2025,299.2,24,3687
2025,299.1,16,3703
2025,299.0,15,3718
2025,298.9,28,3746
2025,298.8,22,3768
2025,298.5,17,3823
2025,298.4,24,3847
2025,298.3,27,3874
2025,298.2,19,3893
2025,298.1,21,3914
2025,298.0,19,3933
2025,297.9,25,3958
2025,297.8,20,3978
2025,297.7,19,3997
2025,297.6,21,4018
2025,297.5,16,4034
2025,297.4,16,4050
2025,297.3,22,4072
2025,297.2,29,4101
2025,297.1,24,4125
2025,297.0,20,4145
2025,296.9,25,4170
2025,296.8,28,4198
2025,296.7,18,4216
2025,296.6,21,4237
2025,296.5,18,4255
2025,296.4,21,4276
2025,296.3,30,4306
2025,296.2,21,4327
2025,296.1,15,4342
2025,296.0,18,4360
2025,295.9,25,4385
2025,295.8,24,4409
2025,295.7,17,4426
2025,295.6,21,4447
2025,295.5,16,4463
2025,295.4,17,4480
2025,295.3,25,4505
2025,295.2,17,4522
2025,295.1,30,4552
2025,295.0,22,4574
2025,294.9,29,4603
2025,294.8,20,4623
2025,294.7,21,4644
2025,294.6,24,4668
2025,294.5,26,4694
2025,294.4,26,4720
2025,294.3,7,4727
2025,294.2,17,4744
2025,294.1,28,4772
2025,294.0,18,4790
2025,293.9,25,4815
2025,293.8,14,4829
2025,293.7,27,4856
2025,293.6,27,4883
2025,293.5,19,4902
2025,293.4,20,4922
2025,293.3,21,4943
2025,293.2,16,4959
2025,293.1,23,4982
2025,293.0,23,5005
2025,292.9,26,5031
2025,292.8,24,5055
2025,292.7,23,5078
2025,292.6,35,5113
2025,292.5,20,5133
2025,292.4,25,5158
2025,292.3,23,5181
2025,292.2,17,5198
2025,292.1,27,5225
2025,292.0,31,5256
2025,291.9,24,5280
2025,291.8,30,5310
2025,291.7,24,5334
2025,291.6,20,5354
2025,291.5,22,5376
2025,291.4,16,5392
2025,291.3,26,5418
2025,291.2,26,5444
2025,291.1,26,5470
2025,291.0,23,5493
2025,290.9,23,5516
2025,290.8,27,5543
2025,290.7,18,5561
2025,290.6,29,5590
2025,290.5,28,5618
2025,290.4,19,5637
2025,290.3,22,5659
2025,290.2,25,5684
2025,290.1,29,5713
2025,290.0,19,5732
2025,289.9,37,5769
2025,289.8,20,5789
2025,289.7,18,5807
2025,289.6,29,5836
2025,289.5,21,5857
2025,289.4,28,5885
2025,289.3,27,5912
2025,289.2,22,5934
2025,289.1,21,5955
2025,289.0,28,5983
2025,288.9,27,6010
2025,288.8,24,6034
2025,288.7,30,6064
2025,288.6,18,6082
2025,288.5,35,6117
2025,288.4,27,6144
2025,288.3,25,6169
2025,288.2,23,6192
2025,288.1,23,6215
2025,288.0,27,6242
2025,287.9,20,6262
2025,287.8,21,6283
2025,287.7,30,6313
2025,287.6,25,6338
2025,287.5,32,6370
2025,287.4,19,6389
2025,287.3,24,6413
2025,287.2,27,6440
2025,287.1,25,6465
2025,287.0,31,6496
2025,286.9,22,6518
2025,286.8,22,6540
2025,286.7,25,6565
2025,286.6,28,6593
2025,286.5,24,6617
2025,286.4,25,6642
2025,286.3,26,6668
2025,286.2,34,6702
2025,286.1,27,6729
2025,286.0,26,6755
2025,285.9,19,6774
2025,285.8,28,6802
2025,285.7,29,6831
2025,285.6,30,6861
2025,285.5,28,6889
2025,285.4,23,6912
2025,285.3,33,6945
2025,285.2,33,6978
2025,285.1,26,7004
2025,285.0,26,7030
2025,284.9,22,7052
2025,284.8,17,7069
2025,284.7,15,7084
2025,284.6,21,7105
2025,284.5,26,7131
2025,284.4,34,7165
2025,284.3,34,7199
2025,284.2,27,7226
2025,284.1,31,7257
2025,284.0,39,7296
2025,283.9,31,7327
2025,283.8,27,7354
2025,283.7,33,7387
2025,283.6,20,7407
2025,283.5,30,7437
2025,283.4,31,7468
2025,283.3,21,7489
2025,283.2,29,7518
2025,283.1,31,7549
2025,283.0,26,7575
2025,282.9,33,7608
2025,282.8,37,7645
2025,282.7,36,7681
2025,282.6,34,7715
2025,282.5,32,7747
2025,282.4,27,7774
2025,282.3,19,7793
2025,282.2,31,7824
2025,282.1,35,7859
2025,282.0,29,7888
2025,281.9,26,7914
2025,281.8,25,7939
2025,281.7,24,7963
2025,281.6,25,7988
2025,281.5,22,8010
2025,281.4,18,8028
2025,281.3,25,8053
2025,281.2,22,8075
2025,281.1,21,8096
2025,281.0,27,8123
2025,280.9,28,8151
2025,280.8,17,8168
2025,280.7,22,8190
2025,280.6,26,8216
2025,280.5,18,8234
2025,280.4,30,8264
2025,280.3,26,8290
2025,280.2,29,8319
2025,280.1,21,8340
2025,280.0,26,8366
2025,279.9,33,8399
2025,279.8,21,8420
2025,279.7,33,8453
2025,279.6,38,8491
